Input,Output
"{{""skill"": ""graphic design"", ""weight"": 5},{""skill"": ""UI/UX design"", ""weight"": 4},{""skill"": ""Adobe Creative Suite"", ""weight"": 3},{""skill"": ""creativity"", ""weight"": 4}}","[{""job_title"": ""Graphic Designer"", ""job_description"": ""Create visual concepts to communicate ideas that inspire, inform, and captivate."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Graphic design"", ""UI/UX design"", ""Creativity""]}, {""job_title"": ""UI/UX Designer"", ""job_description"": ""Design user interfaces and experiences for web and mobile applications."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""UI/UX design"", ""Graphic design"", ""User research""]}, {""job_title"": ""Creative Director"", ""job_description"": ""Lead creative teams and oversee the visual elements of projects."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Graphic design"", ""Creativity"", ""Leadership""]}, {""job_title"": ""Brand Designer"", ""job_description"": ""Develop visual brand elements to convey a company's identity and values."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Graphic design"", ""Brand development"", ""Creativity""]}, {""job_title"": ""Motion Graphics Designer"", ""job_description"": ""Create animated visuals and graphics for multimedia projects."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Graphic design"", ""Motion graphics"", ""Creativity""]}]"
"{{""skill"": ""cybersecurity"", ""weight"": 4},{""skill"": ""network security"", ""weight"": 3},{""skill"": ""ethical hacking"", ""weight"": 5}}","[{""job_title"": ""Cybersecurity Analyst"", ""job_description"": ""Monitor and protect computer systems and networks from cyber threats."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 70, ""skills"": [""Cybersecurity"", ""Network security"", ""Ethical hacking""]}, {""job_title"": ""Network Security Engineer"", ""job_description"": ""Design and implement security measures to protect computer networks."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 62, ""skills"": [""Network security"", ""Cybersecurity"", ""Firewalls""]}, {""job_title"": ""Penetration Tester"", ""job_description"": ""Identify and address security vulnerabilities through ethical hacking techniques."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Ethical hacking"", ""Cybersecurity"", ""Penetration testing""]}, {""job_title"": ""Security Consultant"", ""job_description"": ""Provide expert advice on security measures and assess potential risks."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Cybersecurity"", ""Ethical hacking"", ""Security consulting""]}, {""job_title"": ""Security Operations Center (SOC) Analyst"", ""job_description"": ""Monitor and respond to security incidents within a SOC environment."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cybersecurity"", ""Incident response"", ""Network security""]}]"
"{{""skill"": ""public relations"", ""weight"": 5},{""skill"": ""media relations"", ""weight"": 4},{""skill"": ""communication strategy"", ""weight"": 3},{""skill"": ""event planning"", ""weight"": 4}}","[{""job_title"": ""Public Relations Specialist"", ""job_description"": ""Develop and maintain a positive public image for an organization or individual."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Public relations"", ""Communication strategy"", ""Media relations""]}, {""job_title"": ""Media Relations Manager"", ""job_description"": ""Manage relationships with media outlets to enhance coverage and visibility."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Media relations"", ""Public relations"", ""Communication""]}, {""job_title"": ""Communication Strategist"", ""job_description"": ""Develop and implement communication strategies to achieve organizational goals."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Communication strategy"", ""Public relations"", ""Media planning""]}, {""job_title"": ""Event Publicist"", ""job_description"": ""Promote and coordinate public relations for events to maximize exposure."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Public relations"", ""Event planning"", ""Media relations""]}, {""job_title"": ""Corporate Communications Manager"", ""job_description"": ""Oversee corporate communications strategies to maintain a positive corporate image."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Public relations"", ""Communication strategy"", ""Leadership""]}]"
"{{""skill"": ""digital marketing"", ""weight"": 4},{""skill"": ""content creation"", ""weight"": 3},{""skill"": ""SEO"", ""weight"": 5},{""skill"": ""analytics"", ""weight"": 2}}","[{""job_title"": ""SEO Specialist"", ""job_description"": ""Optimize website content and structure to improve search engine rankings."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""SEO"", ""Digital marketing"", ""Analytics""]}, {""job_title"": ""Content Marketing Coordinator"", ""job_description"": ""Create and distribute valuable, relevant content to attract and engage a target audience."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Content creation"", ""Digital marketing"", ""SEO""]}, {""job_title"": ""Digital Marketing Analyst"", ""job_description"": ""Analyze digital marketing campaigns and recommend strategies for improvement."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Digital marketing"", ""Analytics"", ""SEO""]}, {""job_title"": ""Social Media Manager"", ""job_description"": ""Manage social media accounts, create content, and engage with followers."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Digital marketing"", ""Social media management"", ""Content creation""]}, {""job_title"": ""Marketing Analytics Specialist"", ""job_description"": ""Utilize analytics tools to derive insights for optimizing marketing campaigns."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Digital marketing"", ""Analytics"", ""Data analysis""]}]"
"{{""skill"": ""healthcare management"", ""weight"": 5},{""skill"": ""patient care"", ""weight"": 4},{""skill"": ""leadership"", ""weight"": 3},{""skill"": ""communication"", ""weight"": 2}}","[{""job_title"": ""Healthcare Administrator"", ""job_description"": ""Oversee the day-to-day operations of healthcare facilities, ensuring efficiency."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Healthcare management"", ""Leadership"", ""Communication""]}, {""job_title"": ""Patient Care Coordinator"", ""job_description"": ""Coordinate and facilitate patient care activities for optimal outcomes."", ""job_growth(in percentage)"": ""5.8%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Patient care"", ""Healthcare management"", ""Communication""]}, {""job_title"": ""Health Services Manager"", ""job_description"": ""Manage healthcare services and implement policies to improve patient care."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Healthcare management"", ""Leadership"", ""Patient care""]}, {""job_title"": ""Clinical Operations Director"", ""job_description"": ""Direct and oversee clinical operations for healthcare organizations."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Healthcare management"", ""Leadership"", ""Strategic planning""]}, {""job_title"": ""Nursing Supervisor"", ""job_description"": ""Supervise nursing staff and coordinate patient care activities within healthcare settings."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Patient care"", ""Leadership"", ""Healthcare management""]}]"
"{{""skill"": ""data science"", ""weight"": 4},{""skill"": ""machine learning"", ""weight"": 5},{""skill"": ""business analysis"", ""weight"": 3},{""skill"": ""python"", ""weight"": 2}}","[{""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data science and machine learning techniques to extract insights from complex datasets."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Data science"", ""Machine learning"", ""Python""]}, {""job_title"": ""Machine Learning Engineer"", ""job_description"": ""Design and implement machine learning models for real-world applications."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Machine learning"", ""Data science"", ""Algorithm development""]}, {""job_title"": ""Business Analyst"", ""job_description"": ""Analyze business processes and provide data-driven recommendations for improvement."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Business analysis"", ""Data analysis"", ""Communication""]}, {""job_title"": ""Python Developer"", ""job_description"": ""Develop and maintain applications using the Python programming language."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Python"", ""Machine learning"", ""Data science""]}, {""job_title"": ""Data Analyst"", ""job_description"": ""Analyze and interpret data to provide valuable insights for decision-making."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Data analysis"", ""Business analysis"", ""Statistics""]}]"
"{{""skill"": ""event planning"", ""weight"": 3},{""skill"": ""communication"", ""weight"": 5},{""skill"": ""negotiation"", ""weight"": 4},{""skill"": ""leadership"", ""weight"": 2}}","[{""job_title"": ""Event Planner"", ""job_description"": ""Plan and execute events, ensuring all details are managed seamlessly."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Event planning"", ""Communication"", ""Negotiation""]}, {""job_title"": ""Communications Coordinator"", ""job_description"": ""Coordinate internal and external communications to enhance organizational messaging."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Communication"", ""Event planning"", ""Public relations""]}, {""job_title"": ""Negotiation Specialist"", ""job_description"": ""Negotiate and secure favorable terms in business transactions and agreements."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Negotiation"", ""Communication"", ""Problem-solving""]}, {""job_title"": ""Leadership Development Manager"", ""job_description"": ""Develop and implement programs to enhance leadership skills within organizations."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Leadership"", ""Event planning"", ""Communication""]}, {""job_title"": ""Corporate Event Coordinator"", ""job_description"": ""Plan and coordinate corporate events to meet organizational objectives and goals."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 42, ""skills"": [""Event planning"", ""Communication"", ""Project management""]}]"
"{{""skill"": ""software development"", ""weight"": 5},{""skill"": ""problem-solving"", ""weight"": 4},{""skill"": ""communication"", ""weight"": 3},{""skill"": ""agile methodologies"", ""weight"": 2}}"," [{""job_title"": ""Software Engineer"", ""job_description"": ""Develop and maintain software applications, ensuring high-quality code."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 70, ""skills"": [""Software development"", ""Problem-solving"", ""Agile methodologies""]}, {""job_title"": ""Systems Analyst"", ""job_description"": ""Analyze and design information systems for organizations."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Problem-solving"", ""Software development"", ""Communication""]}, {""job_title"": ""Agile Project Manager"", ""job_description"": ""Lead Agile development teams, ensuring project success and efficiency."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 68, ""skills"": [""Agile methodologies"", ""Problem-solving"", ""Communication""]}, {""job_title"": ""Full Stack Developer"", ""job_description"": ""Develop both front-end and back-end components of web applications."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 72, ""skills"": [""Software development"", ""Problem-solving"", ""Communication""]}, {""job_title"": ""DevOps Engineer"", ""job_description"": ""Automate and improve the continuous integration and delivery process."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Software development"", ""Agile methodologies"", ""Problem-solving""]}]"
"{{""skill"": ""data analysis"", ""weight"": 4},{""skill"": ""machine learning"", ""weight"": 5},{""skill"": ""python"", ""weight"": 3},{""skill"": ""statistical analysis"", ""weight"": 2}}","[{""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data science and machine learning techniques to extract insights from complex datasets."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Data analysis"", ""Machine learning"", ""Python""]}, {""job_title"": ""Machine Learning Engineer"", ""job_description"": ""Design and implement machine learning models for real-world applications."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Machine learning"", ""Data science"", ""Statistical analysis""]}, {""job_title"": ""Python Developer"", ""job_description"": ""Develop and maintain applications using the Python programming language."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Python"", ""Machine learning"", ""Data analysis""]}, {""job_title"": ""Statistical Analyst"", ""job_description"": ""Conduct statistical analysis and interpret results for decision-making."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Statistical analysis"", ""Data analysis"", ""Python""]}, {""job_title"": ""Data Analyst"", ""job_description"": ""Analyze and interpret data to provide valuable insights for decision-making."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Data analysis"", ""Python"", ""Machine learning""]}]"
"{{""skill"": ""cloud computing"", ""weight"": 5},{""skill"": ""network security"", ""weight"": 4},{""skill"": ""AWS"", ""weight"": 3},{""skill"": ""virtualization"", ""weight"": 2}}","[{""job_title"": ""Cloud Solutions Architect"", ""job_description"": ""Design and implement scalable and secure cloud infrastructure solutions."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 75, ""skills"": [""Cloud computing"", ""Network security"", ""AWS""]}, {""job_title"": ""Network Security Engineer"", ""job_description"": ""Design and implement security measures to protect computer networks."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 62, ""skills"": [""Network security"", ""Cloud computing"", ""Virtualization""]}, {""job_title"": ""AWS Cloud Engineer"", ""job_description"": ""Implement and manage cloud solutions using the AWS platform."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 68, ""skills"": [""AWS"", ""Cloud computing"", ""Network security""]}, {""job_title"": ""Virtualization Specialist"", ""job_description"": ""Implement and maintain virtualization solutions for optimal resource utilization."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Virtualization"", ""Cloud computing"", ""Network security""]}, {""job_title"": ""Cloud Security Consultant"", ""job_description"": ""Provide expertise in securing cloud environments and data."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cloud computing"", ""Network security"", ""Security consulting""]}]"
"{{""skill"": ""public relations"", ""weight"": 5},{""skill"": ""media relations"", ""weight"": 4},{""skill"": ""communication strategy"", ""weight"": 3},{""skill"": ""event planning"", ""weight"": 2}}","[{""job_title"": ""Public Relations Specialist"", ""job_description"": ""Develop and maintain a positive public image for an organization or individual."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Public relations"", ""Communication strategy"", ""Media relations""]}, {""job_title"": ""Media Relations Manager"", ""job_description"": ""Manage relationships with media outlets to enhance coverage and visibility."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Media relations"", ""Public relations"", ""Communication""]}, {""job_title"": ""Communication Strategist"", ""job_description"": ""Develop and implement communication strategies to achieve organizational goals."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Communication strategy"", ""Public relations"", ""Media planning""]}, {""job_title"": ""Event Publicist"", ""job_description"": ""Promote and coordinate public relations for events to maximize exposure."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Public relations"", ""Event planning"", ""Media relations""]}, {""job_title"": ""Corporate Communications Manager"", ""job_description"": ""Oversee corporate communications strategies to maintain a positive corporate image."", ""job_growth(in percentage)"": ""6.2%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Public relations"", ""Communication strategy"", ""Leadership""]}]"
"{{""skill"": ""product management"", ""weight"": 4},{""skill"": ""market research"", ""weight"": 3},{""skill"": ""agile methodologies"", ""weight"": 5},{""skill"": ""communication"", ""weight"": 2}}"," [{""job_title"": ""Product Manager"", ""job_description"": ""Oversee the development and launch of new products, ensuring market success."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 70, ""skills"": [""Product management"", ""Agile methodologies"", ""Communication""]}, {""job_title"": ""Market Research Analyst"", ""job_description"": ""Conduct research to understand market trends and consumer preferences."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Market research"", ""Agile methodologies"", ""Communication""]}, {""job_title"": ""Agile Project Coordinator"", ""job_description"": ""Facilitate Agile development processes, ensuring project success."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Agile methodologies"", ""Product management"", ""Communication""]}, {""job_title"": ""Marketing Strategist"", ""job_description"": ""Develop and implement marketing strategies for product promotion."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Market research"", ""Communication"", ""Product management""]}, {""job_title"": ""Technical Product Owner"", ""job_description"": ""Serve as the bridge between business needs and technical development teams."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Product management"", ""Agile methodologies"", ""Technical expertise""]}]"
"{{""skill"": ""UI/UX design"", ""weight"": 5},{""skill"": ""web development"", ""weight"": 4},{""skill"": ""graphic design"", ""weight"": 3},{""skill"": ""creativity"", ""weight"": 2}}","[{""job_title"": ""UI/UX Designer"", ""job_description"": ""Design user interfaces and experiences for web and mobile applications."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""UI/UX design"", ""Web development"", ""Graphic design""]}, {""job_title"": ""Front-end Developer"", ""job_description"": ""Develop and implement user interfaces for web applications."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Web development"", ""UI/UX design"", ""Graphic design""]}, {""job_title"": ""Graphic Designer"", ""job_description"": ""Create visual concepts to communicate ideas that inspire, inform, and captivate."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Graphic design"", ""UI/UX design"", ""Creativity""]}, {""job_title"": ""Web Developer"", ""job_description"": ""Build and maintain websites, ensuring optimal user experience."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Web development"", ""UI/UX design"", ""Graphic design""]}, {""job_title"": ""Creative Director"", ""job_description"": ""Lead creative teams and oversee the visual elements of projects."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Graphic design"", ""Creativity"", ""Leadership""]}]"
"{{""skill"": ""data analysis"", ""weight"": 4},{""skill"": ""machine learning"", ""weight"": 5},{""skill"": ""business analysis"", ""weight"": 3},{""skill"": ""python"", ""weight"": 2}}","[{""job_title"": ""Data Scientist"", ""job_description"": ""Utilize data science and machine learning techniques to extract insights from complex datasets."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Data analysis"", ""Machine learning"", ""Python""]}, {""job_title"": ""Machine Learning Engineer"", ""job_description"": ""Design and implement machine learning models for real-world applications."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Machine learning"", ""Data science"", ""Algorithm development""]}, {""job_title"": ""Business Analyst"", ""job_description"": ""Analyze business processes and provide data-driven recommendations for improvement."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Business analysis"", ""Data analysis"", ""Communication""]}, {""job_title"": ""Python Developer"", ""job_description"": ""Develop and maintain applications using the Python programming language."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 52, ""skills"": [""Python"", ""Machine learning"", ""Data science""]}, {""job_title"": ""Data Analyst"", ""job_description"": ""Analyze and interpret data to provide valuable insights for decision-making."", ""job_growth(in percentage)"": ""6.0%"", ""average_annual_salary(in LPA)"": 45, ""skills"": [""Data analysis"", ""Business analysis"", ""Statistics""]}]"
"{{""skill"": ""cybersecurity"", ""weight"": 4},{""skill"": ""network security"", ""weight"": 3},{""skill"": ""ethical hacking"", ""weight"": 5},{""skill"": ""information security"", ""weight"": 2}}","[{""job_title"": ""Cybersecurity Analyst"", ""job_description"": ""Monitor and protect computer systems and networks from cyber threats."", ""job_growth(in percentage)"": ""8.5%"", ""average_annual_salary(in LPA)"": 70, ""skills"": [""Cybersecurity"", ""Network security"", ""Ethical hacking""]}, {""job_title"": ""Network Security Engineer"", ""job_description"": ""Design and implement security measures to protect computer networks."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 62, ""skills"": [""Network security"", ""Cybersecurity"", ""Firewalls""]}, {""job_title"": ""Ethical Hacker"", ""job_description"": ""Identify and address security vulnerabilities through ethical hacking techniques."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Ethical hacking"", ""Cybersecurity"", ""Penetration testing""]}, {""job_title"": ""Information Security Specialist"", ""job_description"": ""Implement and manage security measures to protect sensitive information."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Information security"", ""Cybersecurity"", ""Network security""]}, {""job_title"": ""Security Consultant"", ""job_description"": ""Provide expert advice on security measures and best practices."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Cybersecurity"", ""Information security"", ""Security consulting""]}]"
"{{""skill"": ""project management"", ""weight"": 4},{""skill"": ""leadership"", ""weight"": 3},{""skill"": ""communication"", ""weight"": 5},{""skill"": ""risk management"", ""weight"": 2}}","[{""job_title"": ""Project Manager"", ""job_description"": ""Lead and oversee projects, ensuring successful completion within scope and timeline."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 70, ""skills"": [""Project management"", ""Communication"", ""Leadership""]}, {""job_title"": ""Team Lead"", ""job_description"": ""Supervise and coordinate team activities to achieve project objectives."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 62, ""skills"": [""Leadership"", ""Communication"", ""Project management""]}, {""job_title"": ""Communication Strategist"", ""job_description"": ""Develop and implement communication strategies for organizational success."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Communication"", ""Leadership"", ""Project management""]}, {""job_title"": ""Risk Management Specialist"", ""job_description"": ""Identify and mitigate potential risks to ensure project success."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Risk management"", ""Project management"", ""Communication""]}, {""job_title"": ""Program Director"", ""job_description"": ""Oversee multiple projects and programs, ensuring strategic alignment."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Leadership"", ""Project management"", ""Communication""]}]"
"{{""skill"": ""mobile app development"", ""weight"": 5},{""skill"": ""java"", ""weight"": 4},{""skill"": ""user experience design"", ""weight"": 3},{""skill"": ""problem-solving"", ""weight"": 2}}","[{""job_title"": ""Mobile App Developer"", ""job_description"": ""Design and develop mobile applications for various platforms."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Mobile app development"", ""Java"", ""User experience design""]}, {""job_title"": ""Java Developer"", ""job_description"": ""Build and maintain Java-based applications, ensuring functionality and performance."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Java"", ""Mobile app development"", ""Problem-solving""]}, {""job_title"": ""UX/UI Designer"", ""job_description"": ""Create intuitive and visually appealing user experiences for digital products."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""User experience design"", ""Problem-solving"", ""Mobile app development""]}, {""job_title"": ""Mobile Solutions Architect"", ""job_description"": ""Design overall architecture and strategy for mobile application development."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Mobile app development"", ""User experience design"", ""Java""]}, {""job_title"": ""Problem-solving Specialist"", ""job_description"": ""Analyze and resolve complex problems in software development."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Problem-solving"", ""Java"", ""Mobile app development""]}]"
"{{""skill"": ""social media marketing"", ""weight"": 4},{""skill"": ""content creation"", ""weight"": 3},{""skill"": ""analytics"", ""weight"": 5},{""skill"": ""digital strategy"", ""weight"": 2}}","[{""job_title"": ""Social Media Manager"", ""job_description"": ""Develop and implement social media strategies to increase brand visibility."", ""job_growth(in percentage)"": ""8.0%"", ""average_annual_salary(in LPA)"": 70, ""skills"": [""Social media marketing"", ""Digital strategy"", ""Analytics""]}, {""job_title"": ""Content Marketing Specialist"", ""job_description"": ""Create and distribute valuable content to attract and engage target audiences."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 62, ""skills"": [""Content creation"", ""Analytics"", ""Social media marketing""]}, {""job_title"": ""Digital Analyst"", ""job_description"": ""Analyze digital marketing data to provide insights and optimize strategies."", ""job_growth(in percentage)"": ""7.8%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Analytics"", ""Social media marketing"", ""Content creation""]}, {""job_title"": ""Digital Strategy Consultant"", ""job_description"": ""Develop and advise on digital strategies to meet business objectives."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 58, ""skills"": [""Digital strategy"", ""Social media marketing"", ""Analytics""]}, {""job_title"": ""Social Media Coordinator"", ""job_description"": ""Coordinate and execute social media campaigns, engaging with the audience."", ""job_growth(in percentage)"": ""6.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Social media marketing"", ""Content creation"", ""Digital strategy""]}]"
"{{""skill"": ""healthcare management"", ""weight"": 5},{""skill"": ""patient care"", ""weight"": 4},{""skill"": ""leadership"", ""weight"": 3},{""skill"": ""communication"", ""weight"": 2}}","[{""job_title"": ""Healthcare Administrator"", ""job_description"": ""Oversee the day-to-day operations of healthcare facilities, ensuring efficiency."", ""job_growth(in percentage)"": ""7.5%"", ""average_annual_salary(in LPA)"": 55, ""skills"": [""Healthcare management"", ""Leadership"", ""Communication""]}, {""job_title"": ""Patient Care Coordinator"", ""job_description"": ""Coordinate and facilitate patient care activities for optimal outcomes."", ""job_growth(in percentage)"": ""5.8%"", ""average_annual_salary(in LPA)"": 48, ""skills"": [""Patient care"", ""Healthcare management"", ""Communication""]}, {""job_title"": ""Health Services Manager"", ""job_description"": ""Manage healthcare services and implement policies to improve patient care."", ""job_growth(in percentage)"": ""7.2%"", ""average_annual_salary(in LPA)"": 60, ""skills"": [""Healthcare management"", ""Leadership"", ""Patient care""]}, {""job_title"": ""Clinical Operations Director"", ""job_description"": ""Direct and oversee clinical operations for healthcare organizations."", ""job_growth(in percentage)"": ""8.2%"", ""average_annual_salary(in LPA)"": 65, ""skills"": [""Healthcare management"", ""Leadership"", ""Strategic planning""]}, {""job_title"": ""Nursing Supervisor"", ""job_description"": ""Supervise nursing staff and coordinate patient care activities within healthcare settings."", ""job_growth(in percentage)"": ""7.0%"", ""average_annual_salary(in LPA)"": 50, ""skills"": [""Patient care"", ""Leadership"", ""Healthcare management""]}]"
